462
('C', 'C#', 'D', 'D#', 'E', 'F', 'F#', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'G#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'A', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'F', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'F#', 'G', 'G#', 'C2')
('C', 'C#', 'D', 'D#', 'F#', 'G', 'A', 'C2')
('C', 'C#', 'D', 'D#', 'F#', 'G', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'F#', 'G', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'F#', 'G#', 'A', 'C2')
('C', 'C#', 'D', 'D#', 'F#', 'G#', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'F#', 'G#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'F#', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'F#', 'A', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'F#', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'G', 'G#', 'A', 'C2')
('C', 'C#', 'D', 'D#', 'G', 'G#', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'G', 'G#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'G', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'G', 'A', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'G', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'D#', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'D#', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'E', 'F', 'F#', 'G', 'C2')
('C', 'C#', 'D', 'E', 'F', 'F#', 'G#', 'C2')
('C', 'C#', 'D', 'E', 'F', 'F#', 'A', 'C2')
('C', 'C#', 'D', 'E', 'F', 'F#', 'A#', 'C2')
('C', 'C#', 'D', 'E', 'F', 'F#', 'B', 'C2')
('C', 'C#', 'D', 'E', 'F', 'G', 'G#', 'C2')
('C', 'C#', 'D', 'E', 'F', 'G', 'A', 'C2')
('C', 'C#', 'D', 'E', 'F', 'G', 'A#', 'C2')
('C', 'C#', 'D', 'E', 'F', 'G', 'B', 'C2')
('C', 'C#', 'D', 'E', 'F', 'G#', 'A', 'C2')
('C', 'C#', 'D', 'E', 'F', 'G#', 'A#', 'C2')
('C', 'C#', 'D', 'E', 'F', 'G#', 'B', 'C2')
('C', 'C#', 'D', 'E', 'F', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'E', 'F', 'A', 'B', 'C2')
('C', 'C#', 'D', 'E', 'F', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'E', 'F#', 'G', 'G#', 'C2')
('C', 'C#', 'D', 'E', 'F#', 'G', 'A', 'C2')
('C', 'C#', 'D', 'E', 'F#', 'G', 'A#', 'C2')
('C', 'C#', 'D', 'E', 'F#', 'G', 'B', 'C2')
('C', 'C#', 'D', 'E', 'F#', 'G#', 'A', 'C2')
('C', 'C#', 'D', 'E', 'F#', 'G#', 'A#', 'C2')
('C', 'C#', 'D', 'E', 'F#', 'G#', 'B', 'C2')
('C', 'C#', 'D', 'E', 'F#', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'E', 'F#', 'A', 'B', 'C2')
('C', 'C#', 'D', 'E', 'F#', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'E', 'G', 'G#', 'A', 'C2')
('C', 'C#', 'D', 'E', 'G', 'G#', 'A#', 'C2')
('C', 'C#', 'D', 'E', 'G', 'G#', 'B', 'C2')
('C', 'C#', 'D', 'E', 'G', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'E', 'G', 'A', 'B', 'C2')
('C', 'C#', 'D', 'E', 'G', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'E', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'E', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'D', 'E', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'E', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'F', 'F#', 'G', 'G#', 'C2')
('C', 'C#', 'D', 'F', 'F#', 'G', 'A', 'C2')
('C', 'C#', 'D', 'F', 'F#', 'G', 'A#', 'C2')
('C', 'C#', 'D', 'F', 'F#', 'G', 'B', 'C2')
('C', 'C#', 'D', 'F', 'F#', 'G#', 'A', 'C2')
('C', 'C#', 'D', 'F', 'F#', 'G#', 'A#', 'C2')
('C', 'C#', 'D', 'F', 'F#', 'G#', 'B', 'C2')
('C', 'C#', 'D', 'F', 'F#', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'F', 'F#', 'A', 'B', 'C2')
('C', 'C#', 'D', 'F', 'F#', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'F', 'G', 'G#', 'A', 'C2')
('C', 'C#', 'D', 'F', 'G', 'G#', 'A#', 'C2')
('C', 'C#', 'D', 'F', 'G', 'G#', 'B', 'C2')
('C', 'C#', 'D', 'F', 'G', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'F', 'G', 'A', 'B', 'C2')
('C', 'C#', 'D', 'F', 'G', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'F', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'F', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'D', 'F', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'F', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'F#', 'G', 'G#', 'A', 'C2')
('C', 'C#', 'D', 'F#', 'G', 'G#', 'A#', 'C2')
('C', 'C#', 'D', 'F#', 'G', 'G#', 'B', 'C2')
('C', 'C#', 'D', 'F#', 'G', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'F#', 'G', 'A', 'B', 'C2')
('C', 'C#', 'D', 'F#', 'G', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'F#', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'F#', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'D', 'F#', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'F#', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'G', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'D', 'G', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'D', 'G', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'G', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'D', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'F#', 'G', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'F#', 'G#', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'F#', 'A', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'F#', 'A#', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'F#', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'G', 'G#', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'G', 'A', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'G', 'A#', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'G', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'G#', 'A', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'G#', 'A#', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'G#', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'A', 'A#', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'A', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'F', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'F#', 'G', 'G#', 'C2')
('C', 'C#', 'D#', 'E', 'F#', 'G', 'A', 'C2')
('C', 'C#', 'D#', 'E', 'F#', 'G', 'A#', 'C2')
('C', 'C#', 'D#', 'E', 'F#', 'G', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'F#', 'G#', 'A', 'C2')
('C', 'C#', 'D#', 'E', 'F#', 'G#', 'A#', 'C2')
('C', 'C#', 'D#', 'E', 'F#', 'G#', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'F#', 'A', 'A#', 'C2')
('C', 'C#', 'D#', 'E', 'F#', 'A', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'F#', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'G', 'G#', 'A', 'C2')
('C', 'C#', 'D#', 'E', 'G', 'G#', 'A#', 'C2')
('C', 'C#', 'D#', 'E', 'G', 'G#', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'G', 'A', 'A#', 'C2')
('C', 'C#', 'D#', 'E', 'G', 'A', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'G', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'D#', 'E', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'E', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'F', 'F#', 'G', 'G#', 'C2')
('C', 'C#', 'D#', 'F', 'F#', 'G', 'A', 'C2')
('C', 'C#', 'D#', 'F', 'F#', 'G', 'A#', 'C2')
('C', 'C#', 'D#', 'F', 'F#', 'G', 'B', 'C2')
('C', 'C#', 'D#', 'F', 'F#', 'G#', 'A', 'C2')
('C', 'C#', 'D#', 'F', 'F#', 'G#', 'A#', 'C2')
('C', 'C#', 'D#', 'F', 'F#', 'G#', 'B', 'C2')
('C', 'C#', 'D#', 'F', 'F#', 'A', 'A#', 'C2')
('C', 'C#', 'D#', 'F', 'F#', 'A', 'B', 'C2')
('C', 'C#', 'D#', 'F', 'F#', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'F', 'G', 'G#', 'A', 'C2')
('C', 'C#', 'D#', 'F', 'G', 'G#', 'A#', 'C2')
('C', 'C#', 'D#', 'F', 'G', 'G#', 'B', 'C2')
('C', 'C#', 'D#', 'F', 'G', 'A', 'A#', 'C2')
('C', 'C#', 'D#', 'F', 'G', 'A', 'B', 'C2')
('C', 'C#', 'D#', 'F', 'G', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'F', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'D#', 'F', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'D#', 'F', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'F', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'F#', 'G', 'G#', 'A', 'C2')
('C', 'C#', 'D#', 'F#', 'G', 'G#', 'A#', 'C2')
('C', 'C#', 'D#', 'F#', 'G', 'G#', 'B', 'C2')
('C', 'C#', 'D#', 'F#', 'G', 'A', 'A#', 'C2')
('C', 'C#', 'D#', 'F#', 'G', 'A', 'B', 'C2')
('C', 'C#', 'D#', 'F#', 'G', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'F#', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'D#', 'F#', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'D#', 'F#', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'F#', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'G', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'D#', 'G', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'D#', 'G', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'G', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'D#', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'E', 'F', 'F#', 'G', 'G#', 'C2')
('C', 'C#', 'E', 'F', 'F#', 'G', 'A', 'C2')
('C', 'C#', 'E', 'F', 'F#', 'G', 'A#', 'C2')
('C', 'C#', 'E', 'F', 'F#', 'G', 'B', 'C2')
('C', 'C#', 'E', 'F', 'F#', 'G#', 'A', 'C2')
('C', 'C#', 'E', 'F', 'F#', 'G#', 'A#', 'C2')
('C', 'C#', 'E', 'F', 'F#', 'G#', 'B', 'C2')
('C', 'C#', 'E', 'F', 'F#', 'A', 'A#', 'C2')
('C', 'C#', 'E', 'F', 'F#', 'A', 'B', 'C2')
('C', 'C#', 'E', 'F', 'F#', 'A#', 'B', 'C2')
('C', 'C#', 'E', 'F', 'G', 'G#', 'A', 'C2')
('C', 'C#', 'E', 'F', 'G', 'G#', 'A#', 'C2')
('C', 'C#', 'E', 'F', 'G', 'G#', 'B', 'C2')
('C', 'C#', 'E', 'F', 'G', 'A', 'A#', 'C2')
('C', 'C#', 'E', 'F', 'G', 'A', 'B', 'C2')
('C', 'C#', 'E', 'F', 'G', 'A#', 'B', 'C2')
('C', 'C#', 'E', 'F', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'E', 'F', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'E', 'F', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'E', 'F', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'E', 'F#', 'G', 'G#', 'A', 'C2')
('C', 'C#', 'E', 'F#', 'G', 'G#', 'A#', 'C2')
('C', 'C#', 'E', 'F#', 'G', 'G#', 'B', 'C2')
('C', 'C#', 'E', 'F#', 'G', 'A', 'A#', 'C2')
('C', 'C#', 'E', 'F#', 'G', 'A', 'B', 'C2')
('C', 'C#', 'E', 'F#', 'G', 'A#', 'B', 'C2')
('C', 'C#', 'E', 'F#', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'E', 'F#', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'E', 'F#', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'E', 'F#', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'E', 'G', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'E', 'G', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'E', 'G', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'E', 'G', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'E', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'F', 'F#', 'G', 'G#', 'A', 'C2')
('C', 'C#', 'F', 'F#', 'G', 'G#', 'A#', 'C2')
('C', 'C#', 'F', 'F#', 'G', 'G#', 'B', 'C2')
('C', 'C#', 'F', 'F#', 'G', 'A', 'A#', 'C2')
('C', 'C#', 'F', 'F#', 'G', 'A', 'B', 'C2')
('C', 'C#', 'F', 'F#', 'G', 'A#', 'B', 'C2')
('C', 'C#', 'F', 'F#', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'F', 'F#', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'F', 'F#', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'F', 'F#', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'F', 'G', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'F', 'G', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'F', 'G', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'F', 'G', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'F', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'F#', 'G', 'G#', 'A', 'A#', 'C2')
('C', 'C#', 'F#', 'G', 'G#', 'A', 'B', 'C2')
('C', 'C#', 'F#', 'G', 'G#', 'A#', 'B', 'C2')
('C', 'C#', 'F#', 'G', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'F#', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'C#', 'G', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'E', 'F', 'F#', 'G', 'C2')
('C', 'D', 'D#', 'E', 'F', 'F#', 'G#', 'C2')
('C', 'D', 'D#', 'E', 'F', 'F#', 'A', 'C2')
('C', 'D', 'D#', 'E', 'F', 'F#', 'A#', 'C2')
('C', 'D', 'D#', 'E', 'F', 'F#', 'B', 'C2')
('C', 'D', 'D#', 'E', 'F', 'G', 'G#', 'C2')
('C', 'D', 'D#', 'E', 'F', 'G', 'A', 'C2')
('C', 'D', 'D#', 'E', 'F', 'G', 'A#', 'C2')
('C', 'D', 'D#', 'E', 'F', 'G', 'B', 'C2')
('C', 'D', 'D#', 'E', 'F', 'G#', 'A', 'C2')
('C', 'D', 'D#', 'E', 'F', 'G#', 'A#', 'C2')
('C', 'D', 'D#', 'E', 'F', 'G#', 'B', 'C2')
('C', 'D', 'D#', 'E', 'F', 'A', 'A#', 'C2')
('C', 'D', 'D#', 'E', 'F', 'A', 'B', 'C2')
('C', 'D', 'D#', 'E', 'F', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'E', 'F#', 'G', 'G#', 'C2')
('C', 'D', 'D#', 'E', 'F#', 'G', 'A', 'C2')
('C', 'D', 'D#', 'E', 'F#', 'G', 'A#', 'C2')
('C', 'D', 'D#', 'E', 'F#', 'G', 'B', 'C2')
('C', 'D', 'D#', 'E', 'F#', 'G#', 'A', 'C2')
('C', 'D', 'D#', 'E', 'F#', 'G#', 'A#', 'C2')
('C', 'D', 'D#', 'E', 'F#', 'G#', 'B', 'C2')
('C', 'D', 'D#', 'E', 'F#', 'A', 'A#', 'C2')
('C', 'D', 'D#', 'E', 'F#', 'A', 'B', 'C2')
('C', 'D', 'D#', 'E', 'F#', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'E', 'G', 'G#', 'A', 'C2')
('C', 'D', 'D#', 'E', 'G', 'G#', 'A#', 'C2')
('C', 'D', 'D#', 'E', 'G', 'G#', 'B', 'C2')
('C', 'D', 'D#', 'E', 'G', 'A', 'A#', 'C2')
('C', 'D', 'D#', 'E', 'G', 'A', 'B', 'C2')
('C', 'D', 'D#', 'E', 'G', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'E', 'G#', 'A', 'A#', 'C2')
('C', 'D', 'D#', 'E', 'G#', 'A', 'B', 'C2')
('C', 'D', 'D#', 'E', 'G#', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'E', 'A', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'F', 'F#', 'G', 'G#', 'C2')
('C', 'D', 'D#', 'F', 'F#', 'G', 'A', 'C2')
('C', 'D', 'D#', 'F', 'F#', 'G', 'A#', 'C2')
('C', 'D', 'D#', 'F', 'F#', 'G', 'B', 'C2')
('C', 'D', 'D#', 'F', 'F#', 'G#', 'A', 'C2')
('C', 'D', 'D#', 'F', 'F#', 'G#', 'A#', 'C2')
('C', 'D', 'D#', 'F', 'F#', 'G#', 'B', 'C2')
('C', 'D', 'D#', 'F', 'F#', 'A', 'A#', 'C2')
('C', 'D', 'D#', 'F', 'F#', 'A', 'B', 'C2')
('C', 'D', 'D#', 'F', 'F#', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'F', 'G', 'G#', 'A', 'C2')
('C', 'D', 'D#', 'F', 'G', 'G#', 'A#', 'C2')
('C', 'D', 'D#', 'F', 'G', 'G#', 'B', 'C2')
('C', 'D', 'D#', 'F', 'G', 'A', 'A#', 'C2')
('C', 'D', 'D#', 'F', 'G', 'A', 'B', 'C2')
('C', 'D', 'D#', 'F', 'G', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'F', 'G#', 'A', 'A#', 'C2')
('C', 'D', 'D#', 'F', 'G#', 'A', 'B', 'C2')
('C', 'D', 'D#', 'F', 'G#', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'F', 'A', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'F#', 'G', 'G#', 'A', 'C2')
('C', 'D', 'D#', 'F#', 'G', 'G#', 'A#', 'C2')
('C', 'D', 'D#', 'F#', 'G', 'G#', 'B', 'C2')
('C', 'D', 'D#', 'F#', 'G', 'A', 'A#', 'C2')
('C', 'D', 'D#', 'F#', 'G', 'A', 'B', 'C2')
('C', 'D', 'D#', 'F#', 'G', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'F#', 'G#', 'A', 'A#', 'C2')
('C', 'D', 'D#', 'F#', 'G#', 'A', 'B', 'C2')
('C', 'D', 'D#', 'F#', 'G#', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'F#', 'A', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'G', 'G#', 'A', 'A#', 'C2')
('C', 'D', 'D#', 'G', 'G#', 'A', 'B', 'C2')
('C', 'D', 'D#', 'G', 'G#', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'G', 'A', 'A#', 'B', 'C2')
('C', 'D', 'D#', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'D', 'E', 'F', 'F#', 'G', 'G#', 'C2')
('C', 'D', 'E', 'F', 'F#', 'G', 'A', 'C2')
('C', 'D', 'E', 'F', 'F#', 'G', 'A#', 'C2')
('C', 'D', 'E', 'F', 'F#', 'G', 'B', 'C2')
('C', 'D', 'E', 'F', 'F#', 'G#', 'A', 'C2')
('C', 'D', 'E', 'F', 'F#', 'G#', 'A#', 'C2')
('C', 'D', 'E', 'F', 'F#', 'G#', 'B', 'C2')
('C', 'D', 'E', 'F', 'F#', 'A', 'A#', 'C2')
('C', 'D', 'E', 'F', 'F#', 'A', 'B', 'C2')
('C', 'D', 'E', 'F', 'F#', 'A#', 'B', 'C2')
('C', 'D', 'E', 'F', 'G', 'G#', 'A', 'C2')
('C', 'D', 'E', 'F', 'G', 'G#', 'A#', 'C2')
('C', 'D', 'E', 'F', 'G', 'G#', 'B', 'C2')
('C', 'D', 'E', 'F', 'G', 'A', 'A#', 'C2')
('C', 'D', 'E', 'F', 'G', 'A', 'B', 'C2')
('C', 'D', 'E', 'F', 'G', 'A#', 'B', 'C2')
('C', 'D', 'E', 'F', 'G#', 'A', 'A#', 'C2')
('C', 'D', 'E', 'F', 'G#', 'A', 'B', 'C2')
('C', 'D', 'E', 'F', 'G#', 'A#', 'B', 'C2')
('C', 'D', 'E', 'F', 'A', 'A#', 'B', 'C2')
('C', 'D', 'E', 'F#', 'G', 'G#', 'A', 'C2')
('C', 'D', 'E', 'F#', 'G', 'G#', 'A#', 'C2')
('C', 'D', 'E', 'F#', 'G', 'G#', 'B', 'C2')
('C', 'D', 'E', 'F#', 'G', 'A', 'A#', 'C2')
('C', 'D', 'E', 'F#', 'G', 'A', 'B', 'C2')
('C', 'D', 'E', 'F#', 'G', 'A#', 'B', 'C2')
('C', 'D', 'E', 'F#', 'G#', 'A', 'A#', 'C2')
('C', 'D', 'E', 'F#', 'G#', 'A', 'B', 'C2')
('C', 'D', 'E', 'F#', 'G#', 'A#', 'B', 'C2')
('C', 'D', 'E', 'F#', 'A', 'A#', 'B', 'C2')
('C', 'D', 'E', 'G', 'G#', 'A', 'A#', 'C2')
('C', 'D', 'E', 'G', 'G#', 'A', 'B', 'C2')
('C', 'D', 'E', 'G', 'G#', 'A#', 'B', 'C2')
('C', 'D', 'E', 'G', 'A', 'A#', 'B', 'C2')
('C', 'D', 'E', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'D', 'F', 'F#', 'G', 'G#', 'A', 'C2')
('C', 'D', 'F', 'F#', 'G', 'G#', 'A#', 'C2')
('C', 'D', 'F', 'F#', 'G', 'G#', 'B', 'C2')
('C', 'D', 'F', 'F#', 'G', 'A', 'A#', 'C2')
('C', 'D', 'F', 'F#', 'G', 'A', 'B', 'C2')
('C', 'D', 'F', 'F#', 'G', 'A#', 'B', 'C2')
('C', 'D', 'F', 'F#', 'G#', 'A', 'A#', 'C2')
('C', 'D', 'F', 'F#', 'G#', 'A', 'B', 'C2')
('C', 'D', 'F', 'F#', 'G#', 'A#', 'B', 'C2')
('C', 'D', 'F', 'F#', 'A', 'A#', 'B', 'C2')
('C', 'D', 'F', 'G', 'G#', 'A', 'A#', 'C2')
('C', 'D', 'F', 'G', 'G#', 'A', 'B', 'C2')
('C', 'D', 'F', 'G', 'G#', 'A#', 'B', 'C2')
('C', 'D', 'F', 'G', 'A', 'A#', 'B', 'C2')
('C', 'D', 'F', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'D', 'F#', 'G', 'G#', 'A', 'A#', 'C2')
('C', 'D', 'F#', 'G', 'G#', 'A', 'B', 'C2')
('C', 'D', 'F#', 'G', 'G#', 'A#', 'B', 'C2')
('C', 'D', 'F#', 'G', 'A', 'A#', 'B', 'C2')
('C', 'D', 'F#', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'D', 'G', 'G#', 'A', 'A#', 'B', 'C2')
('C', 'D#', 'E', 'F', 'F#', 'G', 'G#', 'C2')
('C', 'D#', 'E', 'F', 'F#', 'G', 'A', 'C2')
('C', 'D#', 'E', 'F', 'F#', 'G', 'A#', 'C2')
('C', 'D#', 'E', 'F', 'F#', 'G', 'B', 'C2')
('C', 'D#', 'E', 'F', 'F#', 'G#', 'A', 'C2')
('C', 'D#', 'E', 'F', 'F#', 'G#', 'A#', 'C2')
('C', 'D#', 'E', 'F', 'F#', 'G#', 'B', 'C2')
('C', 'D#', 'E', 'F', 'F#', 'A', 'A#', 'C2')
('C', 'D#', 'E', 'F', 'F#', 'A', 'B', 'C2')
('C', 'D#', 'E', 'F', 'F#', 'A#', 'B', 'C2')
('C', 'D#', 'E', 'F', 'G', 'G#', 'A', 'C2')
('C', 'D#', 'E', 'F', 'G', 'G#', 'A#', 'C2')
